,Title,Score
538,Gintama: Dai Hanseikai,8.07
539,Girls & Panzer: Saishuushou Part 2,8.07
540,Haikyuu!! Movie 2: Shousha to Haisha,8.07
541,Hikaru no Go,8.07
542,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,8.07
543,Shokugeki no Souma: Ni no Sara,8.07
544,Skip Beat!,8.07
545,Spy x Family Season 2,8.07
546,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8.07
547,Kanata no Astra,8.07
548,Kidou Senshi Gundam 00 Second Season,8.07
549,Kimi wa Houkago Insomnia,8.07
550,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.07
551,Kamisama Hajimemashita OVA,8.06
552,Kuroshitsuji: Book of Circus,8.06
553,Kyou kara Ore wa!!,8.06
554,Mahoutsukai no Yome,8.06
555,Meitantei Conan Movie 08: Ginyoku no Magician,8.06
556,Meitantei Conan Movie 18: Ijigen no Sniper,8.06
557,No Game No Life,8.06
558,One Piece Film: Strong World,8.06
559,Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.06
560,Sakura-sou no Pet na Kanojo,8.06
561,Ginga Eiyuu Densetsu Gaiden (1999),8.06
562,Hyouka,8.06
563,Toradora!,8.06
564,Uma Musume: Pretty Derby Season 2,8.05
565,World Trigger 2nd Season,8.05
566,Yowamushi Pedal: Grande Road,8.05
567,Kidou Senshi Gundam: Tekketsu no Orphans,8.05
568,Kodomo no Omocha (TV),8.05
569,Koukyoushihen Eureka Seven,8.05
570,Kuroko no Basket,8.05
571,Kuroshitsuji: Book of Murder,8.05
572,Meitantei Conan Movie 25: Halloween no Hanayome,8.05
573,Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.05
574,Angel Beats!,8.05
575,Darker than Black: Kuro no Keiyakusha,8.05
576,Dorohedoro,8.05
577,Durarara!!x2 Ketsu,8.05
578,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,8.05
579,5-toubun no Hanayome ∬,8.04
580,Douluo Dalu II: Jueshi Tangmen,8.04
581,Fate/stay night: Unlimited Blade Works Prologue,8.04
582,Glass no Kamen (2005),8.04
583,Golden Boy,8.04
584,Gosick,8.04
585,Shijou Saikyou no Deshi Kenichi,8.04
586,Tsuki ga Kirei,8.04
587,Tunshi Xingkong,8.04
588,Yuru Camp△ Season 3,8.04
589,Karakai Jouzu no Takagi-san 2,8.04
590,Mairimashita! Iruma-kun 2nd Season,8.04
591,Mignon,8.04
592,Omoide no Marnie,8.04
593,Paprika,8.04
594,Persona 3 the Movie 4: Winter of Rebirth,8.04
595,Kill la Kill,8.03
596,"Komi-san wa, Comyushou desu. 2nd Season",8.03
597,Lovely★Complex,8.03
598,Meitantei Conan Movie 03: Seikimatsu no Majutsushi,8.03
599,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,8.03
600,Meitantei Conan Movie 10: Tantei-tachi no Requiem,8.03
601,Akatsuki no Yona,8.03
602,Azumanga Daiou The Animation,8.03
603,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,8.03
604,Black Lagoon,8.03
